parent,child
MaltoseConsumptionimport,371601
MelibioseConsumptionimport,371601
NH3AmmoniaNH4AmmoniumConsumptionimport,371601
PropanoatePropionateProductionexport,371601
RaffinoseConsumptionimport,371601
SuccinateProductionexport,371601
SucroseConsumptionimport,371601
TrehaloseConsumptionimport,371601
AcetateProductionexport,387661
SuccinateProductionexport,387661
AcetateProductionexport,39486
CO2Productionexport,39486
D-FructoseFructoseConsumptionimport,39486
D-GalactoseConsumptionimport,39486
D-GlucoseGlucoseConsumptionimport,39486
EthanolProductionexport,39486
FormateProductionexport,39486
H2HydrogenProductionexport,39486
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,39486
LactoseConsumptionimport,39486
MaltoseConsumptionimport,39486
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,39486
PyruvateConsumptionimport,39486
AcetateConsumptionimport,39496
ButyrateProductionexport,39496
CO2Productionexport,39496
FormateProductionexport,39496
H2HydrogenProductionexport,39496
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,39496
AcetateProductionexport,39777
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,39777
PropanoatePropionateProductionexport,39777
AcetateProductionexport,39778
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,39778
PropanoatePropionateProductionexport,39778
2-methylbutyrate2-methylbutanoicacidConsumptionimport,40518
AcetateProductionexport,40518
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,40518
BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport,40518
BiotinVitaminB7Consumptionimport,40518
D-FructoseFructoseConsumptionimport,40518
D-PsicoseConsumptionimport,40518
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,40518
EthanolProductionexport,40518
FormateProductionexport,40518
FOSFructooligosaccharideConsumptionimport,40518
H2HydrogenProductionexport,40518
Isobutyrate2-MethylpropanoicacidConsumptionimport,40518
Isovalerate3-MethylbutanoicacidConsumptionimport,40518
L-CysteineCysteineD-CysteineConsumptionimport,40518
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,40518
MaltoseConsumptionimport,40518
NH3AmmoniaNH4AmmoniumConsumptionimport,40518
PantothenicacidVitaminB5PantothenateConsumptionimport,40518
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,40518
RiboflavinVitaminB2Consumptionimport,40518
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,40518
SuccinateProductionexport,40518
SulfateSulfuricacidConsumptionimport,40518
ThiosulfateConsumptionimport,40518
L-ArginineArginineConsumptionimport,40545
L-AspartateAspartateD-AspartateConsumptionimport,40545
AcetateProductionexport,410072
ButyrateProductionexport,410072
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,410072
D-FructoseFructoseConsumptionimport,410072
D-GalactoseConsumptionimport,410072
D-GlucoseGlucoseConsumptionimport,410072
D-XyloseXyloseConsumptionimport,410072
FOSFructooligosaccharideConsumptionimport,410072
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,410072
LactoseConsumptionimport,410072
MaltoseConsumptionimport,410072
PropanoatePropionateProductionexport,410072
RaffinoseConsumptionimport,410072
SucroseConsumptionimport,410072
AcetateConsumptionimportproductionexport,45851
ButyrateProductionexport,45851
CO2Productionexport,45851
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,45851
FormateProductionexport,45851
H2HydrogenProductionexport,45851
HemicelluloseMacromoleculedegradation,45851
Isobutyrate2-MethylpropanoicacidConsumptionimport,45851
Isovalerate3-MethylbutanoicacidConsumptionimport,45851
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,45851
LactoseConsumptionimport,45851
MaltoseConsumptionimport,45851
PropanoatePropionateConsumptionimport,45851
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,45851
ValeratePentanoicacidPentanoateConsumptionimport,45851
AcetateProductionexport,46503
D-GlucoseGlucoseConsumptionimport,46503
D-MannoseMannoseConsumptionimport,46503
D-XyloseXyloseConsumptionimport,46503
LactoseConsumptionimport,46503
MaltoseConsumptionimport,46503
RaffinoseConsumptionimport,46503
SuccinateProductionexport,46503
SucroseConsumptionimport,46503
TrehaloseConsumptionimport,46503
AcetateProductionexport,46506
ButyrateProductionexport,46506
CO2Consumptionimportproductionexport,46506
D-FructoseFructoseConsumptionimport,46506
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,46506
FormateProductionexport,46506
H2HydrogenProductionexport,46506
NH3AmmoniaNH4AmmoniumConsumptionimport,46506
PropanoatePropionateProductionexport,46506
SuccinateProductionexport,46506
AcetateProductionexport,47678
ButyrateProductionexport,47678
CO2Consumptionimportproductionexport,47678
D-FructoseFructoseConsumptionimport,47678
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,47678
FormateProductionexport,47678
H2HydrogenProductionexport,47678
MucinMucusGlycoproteinMacromoleculedegradation,47678
NH3AmmoniaNH4AmmoniumConsumptionimport,47678
PectinMacromoleculedegradation,47678
PropanoatePropionateProductionexport,47678
SuccinateProductionexport,47678
MucinMucusGlycoproteinMacromoleculedegradation,52226
4-AminobutyrateGABAProductionexport,562
AcetateProductionexport,562
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimportproductionexport,562
BetaineGlycinebetaineConsumptionimport,562
BiotinVitaminB7Productionexport,562
CadaverineProductionexport,562
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,562
CholicacidCholateConsumptionimport,562
CO2Productionexport,562
D-FructuronateConsumptionimport,562
D-GalactoseConsumptionimport,562
D-GalacturonateConsumptionimport,562
D-GluconateD-GluconicacidGluconateConsumptionimport,562
D-GlucoseGlucoseConsumptionimport,562
D-GlucuronicacidD-GlucuronateConsumptionimport,562
D-RiboseRiboseConsumptionimport,562
D-TagaturonateConsumptionimport,562
DimethylamineProductionexport,562
EthanolProductionexport,562
FolicacidFolateVitaminB9Productionexport,562
FormaldehydeProductionexport,562
FormateProductionexport,562
H2HydrogenProductionexport,562
IndoleProductionexport,562
Indole-3-acetateIndoleacetateConsumptionimportproductionexport,562
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,562
L-GlutamineD-GlutamineGlutamineConsumptionimport,562
L-HistidineHistidineConsumptionimport,562
L-IdonateConsumptionimport,562
L-IsoleucineIsoleucineConsumptionimport,562
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,562
L-LeucineLeucineConsumptionimport,562
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,562
L-ThreonineThreonineProductionexport,562
L-ValineValineD-ValineConsumptionimport,562
LactoseConsumptionimport,562
MaltoseConsumptionimport,562
MenaquinoneVitaminK2Productionexport,562
MethanolProductionexport,562
NH3AmmoniaNH4AmmoniumProductionexport,562
NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimportproductionexport,562
NitrateConsumptionimport,562
PentanolProductionexport,562
PutrescineProductionexport,562
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,562
RiboflavinVitaminB2Productionexport,562
SuccinateConsumptionimportproductionexport,562
SulfateSulfuricacidConsumptionimport,562
ThiamineVitaminB1ThiaminConsumptionimportproductionexport,562
ThiosulfateConsumptionimport,562
TrimethylamineProductionexport,562
RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolConsumptionimportproductionexport,573
13-PropanediolProductionexport,573
AcetateConsumptionimportproductionexport,573
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimportproductionexport,573
BenzoateConsumptionimport,573
CellobioseConsumptionimport,573
CitrateConsumptionimport,573
CO2Productionexport,573
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,573
D-GluconateD-GluconicacidGluconateConsumptionimport,573
D-GlucoseGlucoseConsumptionimport,573
D-XyloseXyloseConsumptionimport,573
EthanolProductionexport,573
EthanolaminePhosphatidylethanolamineConsumptionimport,573
FormaldehydeProductionexport,573
FormateConsumptionimport,573
GlycerolConsumptionimport,573
Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport,573
L-ArabitolL-ArabinitolD-ArabitolConsumptionimport,573
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,573
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,573
L-SorboseSorboseConsumptionimport,573
MethanolConsumptionimport,573
MethylamineMonomethylamineConsumptionimport,573
N2Consumptionimport,573
NH3AmmoniaNH4AmmoniumProductionexport,573
NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimport,573
NitrateConsumptionimport,573
RaffinoseConsumptionimport,573
RiboflavinVitaminB2Productionexport,573
StachyoseConsumptionimport,573
SuccinateConsumptionimport,573
SucroseConsumptionimport,573
TrimethylamineProductionexport,573
TyramineConsumptionimport,573
UreaConsumptionimport,573
XOSXylooligosaccharideConsumptionimport,573
AcetateProductionexport,61171
CellobioseConsumptionimport,61171
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,61171
D-FructoseFructoseConsumptionimport,61171
D-GlucoseGlucoseConsumptionimport,61171
D-MannitolMannitolConsumptionimport,61171
D-MannoseMannoseConsumptionimport,61171
D-RiboseRiboseConsumptionimport,61171
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,61171
D-XyloseXyloseConsumptionimport,61171
ErythritolConsumptionimport,61171
Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport,61171
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,61171
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,61171
MelibioseConsumptionimport,61171
RaffinoseConsumptionimport,61171
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,61171
SuccinateProductionexport,61171
SucroseConsumptionimport,61171
TrehaloseConsumptionimport,61171
AcetateProductionexport,68892
CO2Productionexport,68892
D-MannitolMannitolConsumptionimport,68892
EthanolProductionexport,68892
H2O2Productionexport,68892
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,68892
LactoseConsumptionimport,68892
NH3AmmoniaNH4AmmoniumProductionexport,68892
PantothenicacidVitaminB5PantothenateConsumptionimport,68892
D-GlucoseGlucoseConsumptionimport,729
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,729
MenaquinoneVitaminK2Consumptionimport,729
AcetateProductionexport,817
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,817
BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport,817
ButyrateProductionexport,817
ChenodeoxycholicacidChenodeoxycholateConsumptionimportproductionexport,817
CholicacidCholateConsumptionimportproductionexport,817
CO2Consumptionimportproductionexport,817
D-FructoseFructoseConsumptionimport,817
D-GalacturonateConsumptionimport,817
D-GlucosamineGlucosamineConsumptionimport,817
D-GlucoseGlucoseConsumptionimport,817
D-GlucuronicacidD-GlucuronateConsumptionimport,817
DeoxycholicacidProductionexport,817
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,817
DimethylamineProductionexport,817
FOSFructooligosaccharideConsumptionimport,817
GlycochenodeoxycholateConsumptionimport,817
GlycocholateConsumptionimport,817
GlycodeoxycholateConsumptionimport,817
H2HydrogenProductionexport,817
HemicelluloseMacromoleculedegradation,817
L-CysteineCysteineD-CysteineConsumptionimport,817
L-FucoseConsumptionimport,817
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,817
L-MethionineD-MethionineConsumptionimport,817
LithocholicacidProductionexport,817
MenaquinoneVitaminK2Productionexport,817
MucinMucusGlycoproteinMacromoleculedegradation,817
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,817
PectinMacromoleculedegradation,817
PolypeptideMacromoleculedegradation,817
PropanoatePropionateProductionexport,817
PutrescineProductionexport,817
RaffinoseConsumptionimport,817
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,817
SuccinateProductionexport,817
TaurochenodeoxycholateConsumptionimport,817
TaurocholateConsumptionimport,817
TaurodeoxycholateConsumptionimport,817
ValeratePentanoicacidPentanoateProductionexport,817
XOSXylooligosaccharideConsumptionimport,817
12-EthanediolEthyleneglycolProductionexport,818
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,818
AcetateProductionexport,818
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,818
ArabinogalactanMacromoleculedegradation,818
ButylamineProductionexport,818
ButyrateProductionexport,818
CellobioseConsumptionimport,818
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,818
CholicacidCholateConsumptionimport,818
Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation,818
CO2Consumptionimportproductionexport,818
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,818
D-FructoseFructoseConsumptionimport,818
D-GalactoseConsumptionimport,818
D-GalacturonateConsumptionimport,818
D-GlucosamineGlucosamineConsumptionimport,818
D-GlucoseGlucoseConsumptionimport,818
D-GlucuronicacidD-GlucuronateConsumptionimport,818
D-LyxoseL-LyxoseConsumptionimport,818
D-MannoseMannoseConsumptionimport,818
D-PsicoseConsumptionimport,818
D-RiboseRiboseConsumptionimport,818
D-XyloseXyloseConsumptionimport,818
DeoxycholicacidProductionexport,818
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,818
DimethylamineProductionexport,818
EthanolProductionexport,818
FormateProductionexport,818
FOSFructooligosaccharideConsumptionimport,818
FructanInulinLevanMacromoleculedegradation,818
GalactanMacromoleculedegradation,818
H2HydrogenProductionexport,818
HemicelluloseMacromoleculedegradation,818
HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation,818
Isobutyrate2-MethylpropanoicacidProductionexport,818
Isovalerate3-MethylbutanoicacidProductionexport,818
L-CysteineCysteineD-CysteineConsumptionimport,818
L-FucoseConsumptionimport,818
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,818
L-LeucineLeucineConsumptionimport,818
L-MethionineD-MethionineConsumptionimport,818
L-PhenylalaninePhenylalanineD-PhenylalanineConsumptionimport,818
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,818
L-TyrosineTyrosineConsumptionimport,818
L-ValineValineD-ValineConsumptionimport,818
LithocholicacidProductionexport,818
MenaquinoneVitaminK2Productionexport,818
MethanolProductionexport,818
MucinMucusGlycoproteinMacromoleculedegradation,818
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,818
N-AcetylgalactosamineN-Acetyl-D-galactosamineConsumptionimport,818
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,818
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,818
PectinMacromoleculedegradation,818
PhenylacetateProductionexport,818
PhenylethylamineProductionexport,818
PolypeptideMacromoleculedegradation,818
PropanoatePropionateProductionexport,818
PutrescineProductionexport,818
PyruvateProductionexport,818
RaffinoseConsumptionimport,818
SpermidineProductionexport,818
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,818
SuccinateProductionexport,818
TrehaloseConsumptionimport,818
TrimethylamineProductionexport,818
TyramineProductionexport,818
UreaProductionexport,818
ValeratePentanoicacidPentanoateProductionexport,818
XOSXylooligosaccharideConsumptionimport,818
AcetateProductionexport,820
ButyrateProductionexport,820
CellobioseConsumptionimport,820
CO2Consumptionimportproductionexport,820
D-FructoseFructoseConsumptionimport,820
D-PsicoseConsumptionimport,820
FOSFructooligosaccharideConsumptionimport,820
H2HydrogenProductionexport,820
MucinMucusGlycoproteinMacromoleculedegradation,820
NH3AmmoniaNH4AmmoniumConsumptionimport,820
PropanoatePropionateProductionexport,820
SuccinateProductionexport,820
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,823
CellobioseConsumptionimport,823
D-GlucoseGlucoseConsumptionimport,823
D-MannoseMannoseConsumptionimport,823
D-XyloseXyloseConsumptionimport,823
HemicelluloseMacromoleculedegradation,823
L-CysteineCysteineD-CysteineConsumptionimport,823
L-MethionineD-MethionineConsumptionimport,823
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,823
LactoseConsumptionimport,823
MucinMucusGlycoproteinMacromoleculedegradation,823
NH3AmmoniaNH4AmmoniumConsumptionimport,823
RaffinoseConsumptionimport,823
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,823
SucroseConsumptionimport,823
TrehaloseConsumptionimport,823
MenaquinoneVitaminK2Productionexport,84112
AcetateConsumptionimportproductionexport,851
ButyrateProductionexport,851
D-GlucoseGlucoseConsumptionimport,851
L-AspartateAspartateD-AspartateConsumptionimport,851
L-CysteineCysteineD-CysteineConsumptionimport,851
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,851
L-GlutamineD-GlutamineGlutamineConsumptionimport,851
L-HistidineHistidineConsumptionimport,851
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,851
L-LysineLysineD-LysineConsumptionimport,851
L-MethionineD-MethionineConsumptionimport,851
L-SerineSerineD-SerineConsumptionimport,851
L-ThreonineThreonineConsumptionimport,851
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,851
NH3AmmoniaNH4AmmoniumProductionexport,851
AcetateConsumptionimportproductionexport,853
ButyrateProductionexport,853
CO2Productionexport,853
D-FructoseFructoseConsumptionimport,853
D-GlucoseGlucoseConsumptionimport,853
DimethylamineProductionexport,853
FormateProductionexport,853
FOSFructooligosaccharideConsumptionimport,853
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,853
MethylamineMonomethylamineProductionexport,853
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,853
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,853
NH3AmmoniaNH4AmmoniumProductionexport,853
PectinMacromoleculedegradation,853
PropanoatePropionateProductionexport,853
RiboflavinVitaminB2Consumptionimport,853
TrimethylamineProductionexport,853
TrimethylamineN-oxideTrimethylamine-N-oxideProductionexport,853
AcetateConsumptionimportproductionexport,876
ButyrateConsumptionimport,876
CO2Consumptionimport,876
EthanolConsumptionimport,876
FormateConsumptionimport,876
GlycerolConsumptionimport,876
H2HydrogenConsumptionimport,876
H2SHS-Productionexport,876
IndoleConsumptionimport,876
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,876
PhenolConsumptionimport,876
PropanoatePropionateConsumptionimport,876
PyruvateConsumptionimport,876
SuccinateConsumptionimport,876
SulfateSulfuricacidConsumptionimport,876
AcetateProductionexport,88431
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,88431
D-FructoseFructoseConsumptionimport,88431
D-GalactoseConsumptionimport,88431
D-GlucosamineGlucosamineConsumptionimport,88431
D-GlucoseGlucoseConsumptionimport,88431
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,88431
D-XyloseXyloseConsumptionimport,88431
EthanolProductionexport,88431
FormateProductionexport,88431
FOSFructooligosaccharideConsumptionimport,88431
Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport,88431
LactoseConsumptionimport,88431
MaltoseConsumptionimport,88431
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,88431
SucroseConsumptionimport,88431
AcetateConsumptionimportproductionexport,901
ButyrateConsumptionimport,901
CO2Consumptionimport,901
D-GlucoseGlucoseConsumptionimport,901
EthanolConsumptionimport,901
FormateConsumptionimport,901
GlycerolConsumptionimport,901
H2HydrogenConsumptionimport,901
H2SHS-Productionexport,901
IndoleConsumptionimport,901
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,901
MaltoseConsumptionimport,901
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,901
PhenolConsumptionimport,901
PropanoatePropionateConsumptionimport,901
PyruvateConsumptionimport,901
SuccinateConsumptionimport,901
SucroseConsumptionimport,901
SulfateSulfuricacidConsumptionimport,901
UreaConsumptionimport,901
AcetateProductionexport,905
ButyrateProductionexport,905
cis-Aconitatetrans-Aconitatetrans-AconiticacidConsumptionimport,905
CitrateConsumptionimport,905
CO2Productionexport,905
H2HydrogenProductionexport,905
H2SHS-Productionexport,905
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,905
NH3AmmoniaNH4AmmoniumProductionexport,905
PropanoatePropionateProductionexport,905
